name,category,price
,Electronics,-59.99
Organic Green Tea,Groceries,-12.50
Stainless Steel Water Bottle,Home & Kitchen,24.99
Running Shoes,Sports & Outdoors,89.95
Cotton T-Shirt,Clothing,19.99
Smart LED Bulb,Electronics,15.75
Notebook Journal,Office Supplies,8.49
Yoga Mat,Sports & Outdoors,29.99
Cast Iron Skillet,Home & Kitchen,34.50
Graphic Novel - "Space Odyssey",Books,-22.00
Protein Powder Supplement,Health & Wellness,45.99
Ceramic Coffee Mug,Home & Kitchen,14.25
Wireless Charging Pad,Electronics,32.00
,Clothing,69.99
Reusable Grocery Bags,Groceries,9.99
Desk Lamp,Office Supplies,39.95
,Beauty,27.50
Mountain Bike,Sports & Outdoors,399.00
Children's Picture Book,Books,13.99
Digital Kitchen Scale,Home & Kitchen,-21.80
