id,name,email,city
1,蓝天贸易有限公司,contact@bluesky-trade.com,北京
2,华东电子设备,sales@huadong-electronics.com,上海
3,南方工业集团,info@south-industry.com,广州
4,西部物流服务,service@west-logistics.com,成都
5,北方机械制造,north.machinery@biz.com,沈阳
6,东海食品供应,orders@eastsea-foods.com,青岛
7,中兴科技股份,support@zhongxing-tech.com,深圳
8,金源建筑材料,sales@jinyuan-construction.com,重庆
9,华美纺织国际,export@huamei-textile.com,杭州
10,创新软件解决方案,solutions@innovate-soft.com,南京
11,绿源环保科技,green.tech@eco-world.com,武汉
12,宏达汽车零部件,parts@hongda-auto.com,长春
13,世纪医疗器械,medical@century-health.com,天津
14,海洋水产有限公司,seafood@ocean-products.com,厦门
15,星光文化传媒,media@starlight-culture.com,长沙
16,长城信息技术,it@greatwall-info.com,西安
17,环球进出口贸易,global.trade@worldwide.com,大连
18,鑫源化工原料,chemicals@xinyuan-chem.com,济南
19,安达物流配送,delivery@anda-logistics.com,郑州
20,卓越教育培训,edu@excellence-training.com,
